<size\=24>你究竟有几条性命，可以一而再、再而三的为我挥霍？</size><size\=24>非要咳，死掉了，你才甘心吗？咳咳……。</size>	<size\=24>เจ้ามีชีวิตกี่ชีวิตกันแน่ จึงยอมสละมันเพื่อข้าซ้ำแล้วซ้ำเล่าเช่นนี้</size><size\=24>จะต้องไอจนตายเสียก่อนเจ้าจึงจะสบายใจหรือ ไอ ไอ...</size>
<size\=24>你管。</size>	<size\=24>เจ้าไม่ต้องมายุ่ง</size>
<size\=24>你若翻脸意图强行留人，我便拿这天师令要挟你。</size><size\=24>如今此物于我已无用场，只是一根老旧木头，不如完璧归赵。</size>	<size\=24>หากท่านพลิกหน้าคิดจะกักตัวข้าไว้โดยพลการ ข้าก็จะใช้ป้ายเทียนซือนี้ข่มขู่ท่าน</size><size\=24>บัดนี้สิ่งนี้ไร้ประโยชน์สำหรับข้าแล้ว เป็นเพียงท่อนไม้เก่าๆ ท่อนหนึ่ง สู้คืนกลับไปให้เจ้าของเดิมเสียยังจะดีกว่า</size>
<size\=24>你莫非是看上了唐家掌门的掌上明珠吗？</size><size\=24>哈哈～你小子终于开窍啦，爷爷还以为你长不大呢。</size><size\=24>要爷爷找人，替你向唐家掌门说媒吗？</size>	<size\=24>เจ้าหมายปองบุตรีสุดที่รักของเจ้าสำนักตระกูลถังอยู่หรือ</size><size\=24>ฮ่าฮ่า～ในที่สุดเจ้าหนุ่มก็รู้จักคิดได้เสียที ปู่นึกว่าเจ้าจะโตไม่ทันเสียแล้ว</size><size\=24>จะให้ปู่หาคนไปสู่ขอกับเจ้าสำนักตระกูลถังแทนเจ้าไหมล่ะ</size>
<size\=24>你该不会是怀疑，此店是间黑店吧？</size>	<size\=24>เจ้าคงไม่ได้สงสัยว่าร้านนี้เป็นร้านของโจรกระมัง</size>
<size\=24>你说她坏话，要是被惦记上了，回头有你好受。</size>	<size\=24>เจ้าพูดลับหลังนางไม่ดี หากถูกนางจำใส่ใจไว้ละก็ เจ้าจะเจอดีแน่</size>
<size\=24>你还笑，方才那笔帐还没跟你算呢。</size>	<size\=24>เจ้ายังหัวเราะได้อีก บัญชีเมื่อครู่ยังไม่ได้สะสางกับเจ้าเลยนะ</size>
<size\=24>你这个无能的废物！活在世上糟蹋米粮！</size><size\=24>你这种垃圾就该出生被扔进厨余桶，屎还能作肥料，你连屎都不如！</size><size\=24>去死！就当是做善事，给我立刻去死，你死了，世道就清平了！</size>	<size\=24>เจ้าไอ้ขยะไร้น้ำยา! มีชีวิตอยู่ในโลกนี้ก็เปลืองข้าวเปล่าๆ!</size><size\=24>ขยะอย่างเจ้าน่าจะเกิดมาแล้วถูกโยนทิ้งลงถังขยะเศษอาหารเสียตั้งแต่แรก ขี้ยังเอาไปทำปุ๋ยได้ แต่เจ้ายังไม่เท่าขี้เลยด้วยซ้ำ!</size><size\=24>ไปตายซะ! ถือเสียว่าทำบุญเถอะ รีบไปตายเดี๋ยวนี้ เจ้าตายไปโลกนี้จะได้สงบสุขเสียที!</size>
<size\=24>你这哪是什么绍兴酒，就是我们自己酿的。</size><size\=24>这样骗人被揭穿怎办？</size>	<size\=24>นี่มันเหล้าเส้าซิงที่ไหนกัน ก็แค่เหล้าที่พวกเราต้มกันเองแท้ๆ</size><size\=24>หลอกคนแบบนี้แล้วถูกจับได้จะทำยังไงล่ะ</size>
<size\=24>你道我方才敲你不死，当真是手下留情吗？</size><size\=24>我这独门武功『烈阳锤』可不是好承教的。</size>	<size\=24>เจ้านึกว่าเมื่อครู่ที่ข้าตีเจ้าไม่ตายนั้น เป็นเพราะข้าปรานีมือจริงๆ หรือ</size><size\=24>วิทยายุทธ์เฉพาะตัวของข้าอย่าง『ค้อนสุริยะเพลิง』นี้ ไม่ใช่ของที่จะรับไว้ได้ง่ายๆ หรอกนะ</size>
